Broadcast,Campaign,Date,Sent,Delivered,Opens,Clicks,OptOuts,Bounces,BounceRate,CTOR,CTR,OpenRate,UnsubRate
FY19 Adult AppGen Campaign - Email 01,Adult_App_Gen,09/11/2018,1447,1447,209,1,2,0,0.0000,0.0048,0.0007,0.1444,0.0014
FY19 UG High School AppGen Email 03 - Majors,HS_App_Gen,09/05/2018,8887,8887,1221,1,24,0,0.0000,0.0008,0.0001,0.1374,0.0027
FY19 UG High School AppGen Email 04 - University of Everyone,HS_App_Gen,09/18/2018,9254,9254,1315,107,22,0,0.0000,0.0814,0.0116,0.1421,0.0024
FY19 UG High School AppGen Email 05 - Financial Aid,HS_App_Gen,10/09/2018,9790,9790,687,31,NA,0,0.0000,0.0451,0.0032,0.0702,NA
FY19 UG High School AppGen Email 06 - Iceland,HS_App_Gen,10/23/2018,11254,11254,104,50,NA,0,0.0000,0.4808,0.0044,0.0092,NA
FY19 Adult AppGen Campaign - Email 02,Adult_App_Gen,10/16/2018,1421,1421,0,NA,NA,0,0.0000,NA,NA,0.0000,NA
FY19 Adult AppGen Campaign - Email 03,Adult_App_Gen,11/13/2018,1480,1480,208,16,2,0,0.0000,0.0769,0.0108,0.1405,0.0014
FY19 UG High School AppGen Email 07 - Real World Experience,HS_App_Gen,11/06/2018,11965,11965,1915,158,28,0,0.0000,0.0825,0.0132,0.1601,0.0023
FY19 UG High School AppGen Email 08 - Ashley Howe,HS_App_Gen,11/29/2018,12303,12303,1932,171,22,0,0.0000,0.0885,0.0139,0.1570,0.0018
FY19 UG High School AppGen Email 09 - FAFSA,HS_App_Gen,12/04/2018,12177,12177,2707,216,27,0,0.0000,0.0798,0.0177,0.2223,0.0022
FY19 UG High School AppGen Email 10 - Environmental Science,HS_App_Gen,12/18/2018,11923,11923,1915,168,21,0,0.0000,0.0877,0.0141,0.1606,0.0018
FY19 Adult AppGen Campaign - Email 04,Adult_App_Gen,12/11/2018,1529,1529,227,24,6,0,0.0000,0.1057,0.0157,0.1485,0.0039
FY18 UG Lead Nurture Email 11 - Financial Aid,UG_Lead_Nurture,07/10/2018,12357,12352,1661,148,20,5,0.0004,0.0891,0.0120,0.1345,0.0016
FY18 UG Lead Nurture Email 12 - Environmental Science,UG_Lead_Nurture,08/14/2018,12721,12721,0,44,21,0,0.0000,NA,0.0035,0.0000,0.0017
FY19 UG Lead Nurture Campaign - Email 01,UG_Lead_Nurture,09/12/2018,4204,4204,717,6,10,0,0.0000,0.0084,0.0014,0.1706,0.0024
FY19 UG Lead Nurture Campaign - Email 02,UG_Lead_Nurture,10/09/2018,4535,4535,223,11,NA,0,0.0000,0.0493,0.0024,0.0492,NA
FY19 UG Lead Nurture Campaign - Email 03,UG_Lead_Nurture,11/14/2018,5626,5626,884,65,13,0,0.0000,0.0735,0.0116,0.1571,0.0023
FY19 UG Lead Nurture Campaign - Email 04,UG_Lead_Nurture,12/12/2018,5843,5843,872,98,6,0,0.0000,0.1124,0.0168,0.1492,0.0010
