Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 12:18:42 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,611794,,,,,,
List ID(s) Reported On:,"15060,15872",,,,,,
Send Start Time,9/4/2019 6:00:46 PM,,,,,,
Send Complete Time,9/4/2019 6:01:06 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 03,,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,102,19.503%,113,18.255%,1.55868%,
http://usm.maine.edu,,82,15.679%,94,15.186%,1.253056%,
https://usm.maine.edu/core/usm-core-curriculum#sequencing,,79,15.105%,81,13.086%,1.207213%,
https://usm.maine.edu/office-of-admissions/experience-usm,,78,14.914%,95,15.347%,1.191932%,
https://usm.maine.edu/advising/fifteen-finish,,76,14.532%,89,14.378%,1.161369%,
https://usm.maine.edu/advising/services,,75,14.34%,76,12.278%,1.146088%,
Unsubscribe,,16,3.059%,52,8.401%,0.244499%,
https://usm.maine.edu/visit#virtualtour,,3,0.574%,4,0.646%,0.045844%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fec3127174630d79&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,2,0.382%,4,0.646%,0.030562%,
http://usm.maine.edu/high-school-students,,2,0.382%,3,0.485%,0.030562%,
http://facebook.com/USouthernMaine,,2,0.382%,2,0.323%,0.030562%,
http://instagram.com/USouthernMaine,,2,0.382%,2,0.323%,0.030562%,
http://linkedin.com/edu/school?id=18589,,1,0.191%,1,0.162%,0.015281%,
http://twitter.com/USouthernMaine,,1,0.191%,1,0.162%,0.015281%,
http://view.e-usm.maine.edu/?j=fec3127174630d79&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,0.191%,1,0.162%,0.015281%,
http://youtube.com/user/USouthernMaine,,1,0.191%,1,0.162%,0.015281%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fec3127174630d79&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=fec3127174630d79&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,523,,619,,,
,,,,,,,
,,,,,,,
