Link,Total_Clicks,Unique_Clicks,Net_CTR,Name,LinkPlacement,Date,PctUniqueClicks,PctTotalClicks,DeliverabilityRate,Job ID,Date/Time Sent,Status,Emails Sent,Unique Click-Through Rate,Open Rate,Deliverability Rate
https://usm.maine.edu/office-of-admissions/video-financial-aid-and-affordability,3,3,0.002,FY20 Adult App Gen - Email 03,4,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
https://usm.maine.edu/scholarships/merit-scholarships,5,3,0.002,FY20 Adult App Gen - Email 03,5,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
https://usm.maine.edu/office-of-admissions/location-and-hours,4,2,0.002,FY20 Adult App Gen - Email 03,6,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
Unsubscribe,7,2,0.002,FY20 Adult App Gen - Email 03,7,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
"https://usm.secure.force.com/events#/list?cid=%%ContactId%%&keyword=Adult+Student,Transfer+Student",1,1,0.001,FY20 Adult App Gen - Email 03,8,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
https://usm.maine.edu/scholarships/re-entry-scholarship-programs,1,1,0.001,FY20 Adult App Gen - Email 03,9,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
http://twitter.com/USouthernMaine,1,1,0.001,FY20 Adult App Gen - Email 03,10,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
https://usm.maine.edu/undergraduate,1,1,0.001,FY20 Adult App Gen - Email 03,11,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
https://facebook.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 03,12,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
https://twitter.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 03,13,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
https://instagram.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 03,14,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
https://youtube.com/user/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 03,15,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
https://www.linkedin.com/school/university-of-southern-maine,0,0,0,FY20 Adult App Gen - Email 03,16,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
