Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 12:24:12 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,699044,,,,,,
List ID(s) Reported On:,"15060,15872",,,,,,
Send Start Time,11/5/2019 6:00:35 PM,,,,,,
Send Complete Time,11/5/2019 6:00:58 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 07,,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,157,15.082%,173,15.516%,1.878665%,
http://usm.maine.edu,,128,12.296%,140,12.556%,1.53165%,
https://usm.maine.edu/maps-parking-transportation/bus,,127,12.20%,127,11.39%,1.519684%,
https://usm.maine.edu/sustainability/ecorep,,127,12.20%,127,11.39%,1.519684%,
https://usm.maine.edu/sustainability/recycling,,126,12.104%,126,11.30%,1.507718%,
https://usm.maine.edu/sustainability/sustainable-landscapes,,125,12.008%,125,11.211%,1.495752%,
https://usm.maine.edu/visit#virtualtour,,62,5.956%,67,6.009%,0.741893%,
https://usm.maine.edu/office-of-admissions/experience-usm,,57,5.476%,61,5.471%,0.682063%,
https://usm.maine.edu/environmental-science/overview,,57,5.476%,58,5.202%,0.682063%,
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,,57,5.476%,58,5.202%,0.682063%,
Unsubscribe,,15,1.441%,49,4.395%,0.17949%,
http://facebook.com/USouthernMaine,,1,0.096%,2,0.179%,0.011966%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=febf12797c640079&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,0.096%,1,0.09%,0.011966%,
http://usm.maine.edu/high-school-students,,1,0.096%,1,0.09%,0.011966%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=febf12797c640079&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://instagram.com/USouthernMaine,,0,0.00%,0,0.00%,0.00000%,
http://linkedin.com/edu/school?id=18589,,0,0.00%,0,0.00%,0.00000%,
http://twitter.com/USouthernMaine,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/?j=febf12797c640079&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=febf12797c640079&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
http://youtube.com/user/USouthernMaine,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,1041,,1115,,,
,,,,,,,
,,,,,,,
