Link,UniqueClicks,PctUniqClicks,TotalClicks,PctTotal Clicks,NetCTR,EmailNumber,LinkPlacement,Date
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fecd13727460077c&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0.00%,0,0.00%,0.00%,Email8A,Email8A Link_Number 14,11/21/2019
http://linkedin.com/edu/school?id=18589,0,0.00%,0,0.00%,0.00%,Email8A,Email8A Link_Number 15,11/21/2019
http://usm.maine.edu/high-school-students,0,0.00%,0,0.00%,0.00%,Email8A,Email8A Link_Number 16,11/21/2019
http://view.e-usm.maine.edu/ftaf.aspx?j=fecd13727460077c&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0.00%,0,0.00%,0.00%,Email8A,Email8A Link_Number 17,11/21/2019
http://youtube.com/user/USouthernMaine,0,0.00%,0,0.00%,0.00%,Email8A,Email8A Link_Number 18,11/21/2019
https://facebook.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email8A,Email8A Link_Number 19,11/21/2019
https://instagram.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email8A,Email8A Link_Number 20,11/21/2019
https://twitter.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email8A,Email8A Link_Number 21,11/21/2019
https://www.linkedin.com/school/university-of-southern-maine,0,0.00%,0,0.00%,0.00%,Email8A,Email8A Link_Number 22,11/21/2019
https://youtube.com/user/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email8A,Email8A Link_Number 23,11/21/2019
Totals,225,,247,,,Email8A,Email8A Link_Number 24,11/21/2019
,NA,,NA,,,Email8A,Email8A Link_Number 25,11/21/2019
https://usm.maine.edu/apply,51,18.21%,56,17.95%,2.42%,Email8B,Email8B Link_Number 1,11/21/2019
http://usm.maine.edu,41,14.64%,44,14.10%,1.95%,Email8B,Email8B Link_Number 2,11/21/2019
https://usm.maine.edu/office-of-admissions/video-ashley-howe,41,14.64%,41,13.14%,1.95%,Email8B,Email8B Link_Number 3,11/21/2019
https://usm.maine.edu/meet-our-faculty,40,14.29%,44,14.10%,1.90%,Email8B,Email8B Link_Number 4,11/21/2019
https://usm.maine.edu/advising,40,14.29%,43,13.78%,1.90%,Email8B,Email8B Link_Number 5,11/21/2019
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,40,14.29%,40,12.82%,1.90%,Email8B,Email8B Link_Number 6,11/21/2019
http://twitter.com/USouthernMaine,6,2.14%,10,3.21%,0.29%,Email8B,Email8B Link_Number 7,11/21/2019
https://usm.maine.edu/visit#virtualtour,6,2.14%,6,1.92%,0.29%,Email8B,Email8B Link_Number 8,11/21/2019
Unsubscribe,4,1.43%,12,3.85%,0.19%,Email8B,Email8B Link_Number 9,11/21/2019
http://instagram.com/USouthernMaine,4,1.43%,8,2.56%,0.19%,Email8B,Email8B Link_Number 10,11/21/2019
http://facebook.com/USouthernMaine,4,1.43%,4,1.28%,0.19%,Email8B,Email8B Link_Number 11,11/21/2019
http://view.e-usm.maine.edu/?j=fecc13727460077f&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,1,0.36%,2,0.64%,0.05%,Email8B,Email8B Link_Number 12,11/21/2019
http://linkedin.com/edu/school?id=18589,1,0.36%,1,0.32%,0.05%,Email8B,Email8B Link_Number 13,11/21/2019
http://usm.maine.edu/high-school-students,1,0.36%,1,0.32%,0.05%,Email8B,Email8B Link_Number 14,11/21/2019
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fecc13727460077f&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0.00%,0,0.00%,0.00%,Email8B,Email8B Link_Number 15,11/21/2019
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fecc13727460077f&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0.00%,0,0.00%,0.00%,Email8B,Email8B Link_Number 16,11/21/2019
http://view.e-usm.maine.edu/ftaf.aspx?j=fecc13727460077f&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0.00%,0,0.00%,0.00%,Email8B,Email8B Link_Number 17,11/21/2019
http://youtube.com/user/USouthernMaine,0,0.00%,0,0.00%,0.00%,Email8B,Email8B Link_Number 18,11/21/2019
https://facebook.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email8B,Email8B Link_Number 19,11/21/2019
https://instagram.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email8B,Email8B Link_Number 20,11/21/2019
https://twitter.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email8B,Email8B Link_Number 21,11/21/2019
https://www.linkedin.com/school/university-of-southern-maine,0,0.00%,0,0.00%,0.00%,Email8B,Email8B Link_Number 22,11/21/2019
