Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 12:22:14 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,682356,,,,,,
List ID(s) Reported On:,"15060,15872",,,,,,
Send Start Time,10/23/2019 6:00:51 PM,,,,,,
Send Complete Time,10/23/2019 6:01:18 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 06,,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,131,16.925%,146,17.258%,1.744341%,
https://usm.maine.edu/international/study-abroad,,105,13.566%,105,12.411%,1.398136%,
https://usm.maine.edu/office-of-admissions/partnership-between-usm-and-iceland-universities,,104,13.437%,104,12.293%,1.38482%,
http://usm.maine.edu,,103,13.307%,111,13.121%,1.371505%,
https://usm.maine.edu/honors/honors-abroad-overview,,103,13.307%,103,12.175%,1.371505%,
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,,103,13.307%,103,12.175%,1.371505%,
https://usm.maine.edu/visit#virtualtour,,31,4.005%,33,3.901%,0.412783%,
https://usm.maine.edu/office-of-admissions/experience-usm,,29,3.747%,31,3.664%,0.386152%,
http://twitter.com/USouthernMaine,,28,3.618%,55,6.501%,0.372836%,
http://facebook.com/USouthernMaine,,28,3.618%,28,3.31%,0.372836%,
Unsubscribe,,9,1.163%,27,3.191%,0.11984%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fec112787767017b&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fec112787767017b&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://instagram.com/USouthernMaine,,0,0.00%,0,0.00%,0.00000%,
http://linkedin.com/edu/school?id=18589,,0,0.00%,0,0.00%,0.00000%,
http://usm.maine.edu/high-school-students,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/?j=fec112787767017b&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=fec112787767017b&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
http://youtube.com/user/USouthernMaine,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,774,,846,,,
,,,,,,,
,,,,,,,
