Link,Total,Unique,Net CTRs,Email Name
https://usm.maine.edu/office-of-admissions/prior-learning-assessment,7,5,0.004,FY20 Adult App Gen - Email 02
"https://usm.secure.force.com/events#/list?cid=%%ContactId%%&keyword=Adult+Student,Transfer+Student",3,3,0.003,FY20 Adult App Gen - Email 02
https://usm.maine.edu/undergraduate,3,3,0.003,FY20 Adult App Gen - Email 02
Unsubscribe,9,3,0.003,FY20 Adult App Gen - Email 02
https://usm.maine.edu/visit#virtualtour,1,1,0.001,FY20 Adult App Gen - Email 02
http://instagram.com/USouthernMaine,1,1,0.001,FY20 Adult App Gen - Email 02
http://usm.maine.edu,1,1,0.001,FY20 Adult App Gen - Email 02
https://facebook.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 02
https://twitter.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 02
https://instagram.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 02
https://youtube.com/user/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 02
https://www.linkedin.com/school/university-of-southern-maine,0,0,0,FY20 Adult App Gen - Email 02
https://usm.maine.edu/degree-completion,0,0,0,FY20 Adult App Gen - Email 02
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fec612777664067a&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 02
http://facebook.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 02
http://twitter.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 02
http://view.e-usm.maine.edu/?j=fec612777664067a&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 02
http://view.e-usm.maine.edu/ftaf.aspx?j=fec612777664067a&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0,0,FY20 Adult App Gen - Email 02
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fec612777664067a&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 02
http://youtube.com/user/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 02
http://linkedin.com/edu/school?id=18589,0,0,0,FY20 Adult App Gen - Email 02
https://usm.maine.edu/apply,20,16,0.013,FY20 Adult App Gen - Email 04
https://usm.maine.edu/office-of-admissions/video-job-preparation,3,3,0.002,FY20 Adult App Gen - Email 04
Unsubscribe,4,2,0.002,FY20 Adult App Gen - Email 04
http://usm.maine.edu/undergraduate,1,1,0.001,FY20 Adult App Gen - Email 04
http://view.e-usm.maine.edu/?j=feba1375726c0c7f&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,1,1,0.001,FY20 Adult App Gen - Email 04
https://usm.maine.edu/career-and-employment-hub/careers,1,1,0.001,FY20 Adult App Gen - Email 04
https://www.facebook.com/USouthernMaine,4,1,0.001,FY20 Adult App Gen - Email 04
https://usm.maine.edu/office-of-admissions/location-and-hours,1,1,0.001,FY20 Adult App Gen - Email 04
https://facebook.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 04
https://twitter.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 04
https://instagram.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 04
https://youtube.com/user/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 04
https://usm.maine.edu/undergraduate,0,0,0,FY20 Adult App Gen - Email 04
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=feba1375726c0c7f&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 04
http://view.e-usm.maine.edu/ftaf.aspx?j=feba1375726c0c7f&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0,0,FY20 Adult App Gen - Email 04
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=feba1375726c0c7f&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 04
