Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 12:21:05 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,662920,,,,,,
List ID(s) Reported On:,"15060,15872",,,,,,
Send Start Time,10/9/2019 6:00:45 PM,,,,,,
Send Complete Time,10/9/2019 6:01:16 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 05,,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,105,15.487%,118,15.588%,1.450276%,
https://usm.maine.edu/scholarships,,98,14.454%,101,13.342%,1.353591%,
https://usm.maine.edu/office-of-admissions/video-promise-scholarship,,92,13.569%,92,12.153%,1.270718%,
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,,91,13.422%,91,12.021%,1.256906%,
https://usm.maine.edu/office-of-admissions/video-financial-aid-and-affordability,,90,13.274%,90,11.889%,1.243094%,
http://usm.maine.edu,,89,13.127%,98,12.946%,1.229282%,
https://usm.maine.edu/visit#virtualtour,,24,3.54%,28,3.699%,0.331492%,
http://facebook.com/USouthernMaine,,24,3.54%,24,3.17%,0.331492%,
https://www.commonapp.org/explore/university-southern-maine,,23,3.392%,23,3.038%,0.31768%,
http://twitter.com/USouthernMaine,,22,3.245%,42,5.548%,0.303867%,
Unsubscribe,,16,2.36%,46,6.077%,0.220994%,
http://instagram.com/USouthernMaine,,2,0.295%,2,0.264%,0.027624%,
http://view.e-usm.maine.edu/?j=fec61276776d067d&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,0.147%,1,0.132%,0.013812%,
http://youtube.com/user/USouthernMaine,,1,0.147%,1,0.132%,0.013812%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fec61276776d067d&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fec61276776d067d&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://linkedin.com/edu/school?id=18589,,0,0.00%,0,0.00%,0.00000%,
http://usm.maine.edu/high-school-students,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=fec61276776d067d&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,678,,757,,,
,,,,,,,
,,,,,,,
