Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 12:09:49 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,828913,,,,,,
List ID(s) Reported On:,"15060,15872",,,,,,
Send Start Time,2/4/2020 6:00:42 PM,,,,,,
Send Complete Time,2/4/2020 6:00:58 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 13,,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,28,40.00%,38,35.514%,0.378634%,
Unsubscribe,,14,20.00%,36,33.645%,0.189317%,
https://usm.maine.edu/residential-life/living-learning-communities,,7,10.00%,9,8.411%,0.094659%,
https://usm.maine.edu/scholarships/merit-scholarships,,5,7.143%,6,5.607%,0.067613%,
https://usm.maine.edu/visit#virtualtour,,4,5.714%,4,3.738%,0.054091%,
https://usm.maine.edu/residential-life/overview,,3,4.286%,3,2.804%,0.040568%,
http://view.e-usm.maine.edu/?j=fec01c727d6d057e&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,2,2.857%,2,1.869%,0.027045%,
https://twitter.com/USouthernMaine,,1,1.429%,2,1.869%,0.013523%,
https://www.instagram.com/USouthernMaine,,1,1.429%,2,1.869%,0.013523%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fec01c727d6d057e&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,1.429%,1,0.935%,0.013523%,
http://usm.maine.edu,,1,1.429%,1,0.935%,0.013523%,
http://usm.maine.edu/high-school-students,,1,1.429%,1,0.935%,0.013523%,
https://usm.maine.edu/maps-parking-transportation/bus,,1,1.429%,1,0.935%,0.013523%,
https://www.linkedin.com/school/university-of-southern-maine,,1,1.429%,1,0.935%,0.013523%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fec01c727d6d057e&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=fec01c727d6d057e&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://usm.maine.edu/high-school-students,,0,0.00%,0,0.00%,0.00000%,
https://www.facebook.com/USouthernMaine,,0,0.00%,0,0.00%,0.00000%,
https://www.youtube.com/user/USouthernMaine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,70,,107,,,
,,,,,,,
,,,,,,,
