Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 12:12:10 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,903945,,,,,,
List ID(s) Reported On:,"15060,15872",,,,,,
Send Start Time,3/18/2020 6:00:42 PM,,,,,,
Send Complete Time,3/18/2020 6:01:03 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 15,,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,21,44.681%,22,32.836%,0.294489%,
Unsubscribe,,8,17.021%,25,37.313%,0.112186%,
https://usm.maine.edu/visit#virtualtour,,4,8.511%,6,8.955%,0.056093%,
https://usm.maine.edu/scholarships/merit-scholarships,,3,6.383%,3,4.478%,0.04207%,
https://usm.maine.edu/maps-parking-transportation/bus,,2,4.255%,2,2.985%,0.028047%,
http://facebook.com/USouthernMaine,,1,2.128%,1,1.493%,0.014023%,
http://instagram.com/USouthernMaine,,1,2.128%,1,1.493%,0.014023%,
http://linkedin.com/edu/school?id=18589,,1,2.128%,1,1.493%,0.014023%,
http://usm.maine.edu,,1,2.128%,1,1.493%,0.014023%,
http://usm.maine.edu/high-school-students,,1,2.128%,1,1.493%,0.014023%,
http://view.e-usm.maine.edu/?j=fec11d70766d0078&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,2.128%,1,1.493%,0.014023%,
http://youtube.com/user/USouthernMaine,,1,2.128%,1,1.493%,0.014023%,
https://usm.maine.edu/student-financial-services/types-aid,,1,2.128%,1,1.493%,0.014023%,
https://usm.maine.edu/sustainability/overview,,1,2.128%,1,1.493%,0.014023%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fec11d70766d0078&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fec11d70766d0078&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://twitter.com/USouthernMaine,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=fec11d70766d0078&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://usm.maine.edu/high-school-students,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,47,,67,,,
,,,,,,,
,,,,,,,
