Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 12:30:22 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,757881,,,,,,
List ID(s) Reported On:,"15060,15872",,,,,,
Send Start Time,12/17/2019 6:00:44 PM,,,,,,
Send Complete Time,12/17/2019 6:01:01 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 10,,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,133,15.871%,146,15.32%,1.709951%,
https://usm.maine.edu/career-and-employment-hub/major-2-career,,111,13.246%,112,11.752%,1.427102%,
https://usm.maine.edu/office-of-admissions/video-job-preparation,,109,13.007%,109,11.438%,1.401389%,
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,,109,13.007%,109,11.438%,1.401389%,
http://usm.maine.edu,,108,12.888%,117,12.277%,1.388532%,
https://usm.maine.edu/career-and-employment-hub/overview,,105,12.53%,105,11.018%,1.349961%,
https://twitter.com/USouthernMaine,,39,4.654%,73,7.66%,0.501414%,
https://usm.maine.edu/visit#virtualtour,,38,4.535%,39,4.092%,0.488557%,
https://www.facebook.com/USouthernMaine,,37,4.415%,37,3.882%,0.475701%,
https://www.instagram.com/USouthernMaine,,35,4.177%,70,7.345%,0.449987%,
Unsubscribe,,12,1.432%,34,3.568%,0.154281%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=febb1375726c0c7c&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,0.119%,1,0.105%,0.012857%,
http://view.e-usm.maine.edu/?j=febb1375726c0c7c&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,0.119%,1,0.105%,0.012857%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=febb1375726c0c7c&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://usm.maine.edu/high-school-students,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=febb1375726c0c7c&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://usm.maine.edu/high-school-students,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://www.youtube.com/user/USouthernMaine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,838,,953,,,
,,,,,,,
,,,,,,,
