Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 12:17:25 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,567986,,,,,,
List ID(s) Reported On:,"15060,15872",,,,,,
Send Start Time,7/31/2019 6:00:54 PM,,,,,,
Send Complete Time,7/31/2019 6:01:16 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 02,,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,95,15.323%,108,14.477%,1.612356%,
https://usm.maine.edu/costs-financial-aid,,79,12.742%,95,12.735%,1.340801%,
https://usm.maine.edu/scholarships,,79,12.742%,83,11.126%,1.340801%,
http://usm.maine.edu,,78,12.581%,86,11.528%,1.323829%,
https://usm.maine.edu/career-and-employment-hub/internships,,77,12.419%,77,10.322%,1.306857%,
https://usm.maine.edu/visit#virtualtour,,43,6.935%,45,6.032%,0.729803%,
http://facebook.com/USouthernMaine,,39,6.29%,40,5.362%,0.661914%,
http://twitter.com/USouthernMaine,,38,6.129%,73,9.786%,0.644942%,
http://instagram.com/USouthernMaine,,38,6.129%,71,9.517%,0.644942%,
http://youtube.com/user/USouthernMaine,,36,5.806%,36,4.826%,0.610998%,
Unsubscribe,,5,0.806%,13,1.743%,0.084861%,
http://usm.maine.edu/high-school-students,,4,0.645%,4,0.536%,0.067889%,
http://view.e-usm.maine.edu/?j=feb61176726d0c7b&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,3,0.484%,8,1.072%,0.050916%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=feb61176726d0c7b&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,3,0.484%,3,0.402%,0.050916%,
http://linkedin.com/edu/school?id=18589,,2,0.323%,2,0.268%,0.033944%,
https://twitter.com/usouthernmaine,,1,0.161%,2,0.268%,0.016972%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=feb61176726d0c7b&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=feb61176726d0c7b&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,620,,746,,,
,,,,,,,
,,,,,,,
