Link,Total_Clicks,Unique_Clicks,Net_CTR,Name,LinkPlacement,Date/Time Sent,Emails Sent,Unique Click-Through Rate,Open Rate,Deliverability Rate,Delivered,UnsubRate,Opens
Unsubscribe,21,7,0.001,FY20 UG High School App Gen - Email 04,11,09/17/2019,6780,0.0170,0.1460,0.9930,6733,0.001039726,990
Unsubscribe,46,16,0.0022,FY20 UG High School App Gen - Email 05,11,10/09/2019,7325,0.0170,0.1380,0.9880,7237,0.00221083,1011
Unsubscribe,27,9,0.0012,FY20 UG High School App Gen - Email 06,11,10/23/2019,7583,0.0210,0.1500,0.9900,7507,0.001198854,1137
Unsubscribe,0,0,0,FY20 Lead Nurture - Email 01 (Early College),18,09/19/2019,1330,0.0210,0.1920,0.9850,1310,0,255
Unsubscribe,10,3,0.001,FY20 Lead Nurture - Email 07,4,03/11/2020,2769,0.0140,0.1760,0.9190,2545,0.001178916,487
Unsubscribe,10,4,0.002,FY20 Lead Nurture - Email 03,6,11/13/2019,2062,0.0290,0.1970,0.9560,1971,0.002029147,406
Unsubscribe,4,2,0.001,FY20 Lead Nurture - Email 05,12,01/14/2020,2212,0.0180,0.1790,0.9920,2194,0.000911451,396
Unsubscribe,0,0,0,FY20 Lead Nurture - Email 06,18,02/12/2020,2349,0.0070,0.1460,0.9950,2337,0,343
Unsubscribe,12,4,0.003,FY20 Lead Nurture - Email 02,11,10/09/2019,1537,0.0280,0.1810,0.9630,1480,0.002702463,278
Unsubscribe,9,4,0.002,FY20 Lead Nurture - Email 04,12,12/11/2019,2174,0.0210,0.1890,0.9780,2126,0.001881315,411
Unsubscribe,8,4,0.001,FY19 Lead Nurture - Email 06 (Three Unique Campuses),8,02/13/2019,6087,0.0160,0.1410,0.9660,5880,0.000680267,858
Unsubscribe,34,12,0.002,FY19 Lead Nurture - Email 07 (Springtime on Campus),12,03/13/2019,6074,0.0190,0.1340,0.9750,5922,0.002026291,814
Unsubscribe,15,5,0.001,FY19 Lead Nurture - Email 08 (Living Learning Communities),13,04/10/2019,6275,0.0220,0.1430,0.9930,6231,0.00080243,897
Unsubscribe,13,5,0.001,FY19 Lead Nurture - Email 09 (Majors),14,05/15/2019,7154,0.0240,0.1700,0.9820,7025,0.000711721,1216
Unsubscribe,21,7,0.001,FY19 Lead Nurture - Email 10 (Iceland),14,06/12/2019,7806,0.0210,0.1680,0.9870,7705,0.000908557,1311
Unsubscribe,31,15,0.002,FY19 Lead Nurture - Email 11 (Financial Aid),8,07/10/2019,7824,0.0160,0.1530,0.9910,7754,0.001934589,1197
Unsubscribe,5,5,0.004,FY19 Lead Nurture - Email 12 (Therapeutic Recreation),13,08/14/2019,1238,0.0200,0.1710,0.9960,1233,0.004054992,212
